FAMILIA;VHLO;CONDUCTOR;FAMILIA AVERIA;DEFICIENCIAS DETECTADAS;DESCRIPCIÓN AVERIA;FOTO;FECHA AVISO;FECHA DISTINTA AVISO;TURNO;Nº AVISO;AVISO CREADO SI / NO;ORIGEN AVISO;TIPO ORDEN
BARREDORA MEDIANA;548;;SISTEMA;CARRETE / PERTIGA / PISTOLA;548.TN. GOMA PERTIGA DER, NO RECOJE;NO;13/02/2026;;N;6000830110;SI;P. TORNEO;
BARREDORA MEDIANA;551;;SISTEMA;TURBINA ASPIRACIÓN;551.TN.SIN PRESION;NO;13/02/2026;;N;6000830116;SI;P. TORNEO;
BARREDORA MEDIANA;555;;CABINA;CINTURÓN / AIRBAG;555-PN-EL CINTURON NO ENGANCHA ANCLAJE;NO;13/02/2026;;M;6000830203;SI;P. NORTE;
BARREDORA PEQUEÑA ;596;;CABINA;MONITOR / PANTALLA;596-P.E CAMARA VISUALIZACION MAL ESTADO;NO;13/02/2026;;M;6000830168;SI;P. ESTE;
BARREDORA PEQUEÑA ;596;;CABINA;AIRE ACONDIC/CALEFACCIÓN;596-P.E A/A EN MAL ESTADO;NO;13/02/2026;;M;6000830170;SI;P. ESTE;
MOTOCARROS;838;;CABINA;PUERTA;838-P.E PUERTA DEL CONDUCTOR MAL ESTADO;NO;13/02/2026;;M;6000830159;SI;P. ESTE;
MOTOCARROS;838;;LUCES;LUZ CABINA;838-P.E LUZ DE CABINA FUNDIDA;NO;13/02/2026;;M;6000830160;SI;P. ESTE;
BRIGADAS;1426;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1426-P.E BARRAS LATERALES DOBLADOS;NO;13/02/2026;;M;6000830162;SI;P. ESTE;
BARREDORA MEDIANA;1531;;LUCES;CRUCE / LARGA;1531.TN.LUZ DE CRUCE FUNDIDA;NO;13/02/2026;;N;6000830121;SI;P. TORNEO;
BARREDORA MEDIANA;1531;;CABINA;LIMPIAPARABRISAS;1531.TN. PARABRISA DESPEGADO;NO;13/02/2026;;N;6000830122;SI;P. TORNEO;
BARREDORA MEDIANA;1542;;SISTEMA;CEPILLO;1542P.E.CEPILLOS GASTADOS;NO;13/02/2026;;M;6000830201;SI;P. ESTE;
BARREDORA MEDIANA;1546;;SISTEMA;CEPILLO;1546.TN.CEPILLO GASTADO;NO;13/02/2026;;N;6000830119;SI;P. TORNEO;
BARREDORA MEDIANA;1548;;MOTOR;LIMITADO DE VELOCIDAD;1548.TN. DESPLAZA LENTA;NO;13/02/2026;;N;6000830125;SI;P. TORNEO;
BARREDORA MEDIANA;1566;;CABINA;PUERTA;1566-P.E FALLO SENSOR PUERTA IQUIERDA;NO;13/02/2026;;M;6000830165;SI;P. ESTE;
BALDEADORA ALTA PRES.;1642;;MOTOR;TESTIGO FALLO MOTOR;1642-FALLO MOTOR;NO;13/02/2026;;M;6000830176;SI;P. ESTE;
BALDEADORA ALTA PRES.;1642;;MOTOR;TESTIGO FRENO;1642-P.E TESTIGO FRENO ENCENDIDO;NO;13/02/2026;;M;6000830177;SI;P. ESTE;
BALDEADORA ALTA PRES.;1656;;;;1656-P.E PERDIDA DE AGUA POR FILTRO;NO;13/02/2026;;M;6000830180;SI;P. ESTE;
BRIGADAS;436;;CABINA;HOROMETRO ;436-P.E HOROMETRO NO FUNCIONA;NO;13/02/2026;;M;6000830167;SI;P. ESTE;
BRIGADAS;446;;DIRECCIÓN;COLUMNA DIRECCIÓN;446-P.E DIRECCION EN MAL ESTADO;NO;13/02/2026;;M;6000830163;SI;P. ESTE;
BRIGADAS;446;;RUEDAS ;RUEDA GASTADA;446-P.E NEUMATICOS EN MAL ESTADO;NO;13/02/2026;;M;6000830164;SI;P. ESTE;
BRIGADAS;452;;LUCES;INTERMITENTE;452.TN.FALLO INTERMITENTE DERECHO;NO;13/02/2026;;N;6000830120;SI;P. TORNEO;
BARREDORA MEDIANA;541;;SISTEMA;CEPILLO;541-P.E CEPILLOS EN MAL ESTADO;NO;13/02/2026;;M;6000830172;SI;P. ESTE;
BARREDORA MEDIANA;541;;CABINA;ESPEJO / RETROVISOR;541-P.E RETROVISOR IZQ. SUPERIOR ROTO;NO;13/02/2026;;M;6000830173;SI;P. ESTE;
BARREDORA PEQUEÑA ;599;;SISTEMA;CEPILLO;599-PP.CEPILLO DERECHO SUELTO;NO;13/02/2026;;M;6000830149;SI;P. PRINCIPES;
MOTOCARROS;839;;LUCES;LUZ CABINA;839-LUZ DE CABINA NO FUNCIONA;NO;13/02/2026;;M;6000830133;SI;P. PRINCIPES;
MOTOCARROS;839;;MOTOR;TESTIGO FALLO MOTOR;839-TESTIIGO FALLO MOTOR;NO;13/02/2026;;M;6000830134;SI;P. PRINCIPES;
MOTOCARROS;929;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;929-PP.NIVEL BAJO DE AIRE;NO;13/02/2026;;M;6000830144;SI;P. PRINCIPES;
MOTOCARROS;931;;CABINA;MONITOR / PANTALLA;931-PP.CAMARA TRASERA NO FUNCIONA;NO;13/02/2026;;M;6000830137;SI;P. PRINCIPES;
MOTOCARROS;931;;CABINA;ASIENTO;931-PP.ASIENTO CONDUCTOR ROTO;NO;13/02/2026;;M;6000830138;SI;P. PRINCIPES;
TURISMOS / FURGONETAS;1053;;LUCES;FRENO;LUZ FRENO IZQ;NO;13/02/2026;;M;6000830158;SI;P. PRINCIPES;
BRIGADAS;1407;;LUCES;INTERMITENTE;1407-INTERMITENTE DELANTERO FUNDIDO;NO;13/02/2026;;M;6000830139;SI;P. PRINCIPES;
BRIGADAS;1407;;LUCES;LUZ CABINA;1407-LUZ DE CABINA FUNDIDA;NO;13/02/2026;;M;6000830140;SI;P. PRINCIPES;
BRIGADAS;1407;;MOTOR;TESTIGO FALLO MOTOR;1407-TESTIGO FALLO MOTOR;NO;13/02/2026;;M;6000830141;SI;P. PRINCIPES;
BRIGADAS;1407;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1407 ALETA Y PUERTA ARAÑADA Y ABOLLADA;NO;13/02/2026;;M;6000830151;SI;P. PRINCIPES;
BARREDORA MEDIANA;1520;;;;1520-TENSOR DE PATIN DERECHO ROTO;NO;13/02/2026;;M;6000830145;SI;P. PRINCIPES;
BARREDORA MEDIANA;1530;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1530-FALDON ROTO DESCOLGADO;NO;13/02/2026;;M;6000830131;SI;P. PRINCIPES;
BARREDORA MEDIANA;1536;;CABINA;AIRE ACONDIC/CALEFACCIÓN;A/A NO FUNCIONA;NO;13/02/2026;;M;6000830142;SI;P. PRINCIPES;
BARREDORA MEDIANA;1536;;MOTOR;TESTIGO EN CUADRO;572-TESTIGO EN CUADRO;NO;13/02/2026;;M;6000830143;SI;P. PRINCIPES;
BARREDORA MEDIANA;1538;;SISTEMA;EYECTOR/TOLVA;1538-PP.PLACA EYECTORA NO DESPLAZA;NO;13/02/2026;;M;6000830135;SI;P. PRINCIPES;
BALDEADORA ALTA PRES.;1647;;MOTOR;TESTIGO EN CUADRO;1647-PP.TESTIGO ENCENDIDO EN EL CUADRO;NO;13/02/2026;;M;6000830152;SI;P. PRINCIPES;
BALDEADORA ALTA PRES.;1647;;SISTEMA;CARRETE / PERTIGA / PISTOLA;1647-PP.CARRETE NO RECOJE;NO;13/02/2026;;M;6000830153;SI;P. PRINCIPES;
BALDEADORA ALTA PRES.;1654;;MOTOR;TESTIGO EN CUADRO;1654.TN.TESTIGO EN CUADRO;NO;13/02/2026;;N;6000830117;SI;P. TORNEO;
BALDEADORA ALTA PRES.;1654;;MOTOR;LIMITADO DE VELOCIDAD;1654.TN. DESPLAZA LENTA;NO;13/02/2026;;N;6000830118;SI;P. TORNEO;
MOTOCARROS;1846;;LUCES;FARO;1846-LUZ DELANTERA FUNDIDA;NO;13/02/2026;;M;6000830147;SI;P. PRINCIPES;
BARREDORA MEDIANA;554;;SISTEMA;HUMECTACIÓN;554-TUBO HUMECTACION SUELTO;NO;13/02/2026;;M;6000830136;SI;P. PRINCIPES;
BARREDORA MEDIANA;554;;SISTEMA;TURBINA ASPIRACIÓN;554-NO ASPIRA CORRECTAMENTE;NO;13/02/2026;;M;6000830155;SI;P. PRINCIPES;
HIDROLIMPIADORES;759;;LUCES;LUZ CABINA;759-LUZ DE CABINA NO FUNDIONA;NO;13/02/2026;;M;6000830132;SI;P. PRINCIPES;
HIDROLIMPIADORES;767;;LUCES;CRUCE / LARGA;767-LUZ DE CRUCE IZQ NO FUNCIONA;NO;13/02/2026;;M;6000830166;SI;P. PRINCIPES;
;1082;JULIO;CARROCERIA;ESTRIBO TRASERO;AGARRADERA ESTRIBO IZQUIERDO ROTA;NO;12/02/2026;;T;6000830075;SI;P. TORNEO;L06
VEHÍCILO HIDROLIMPIADOR;1723;JOAQUIN;CABINA;ESPEJO / RETROVISOR;INTERMITENTE DE ESPEJO RETROVISOR IZQUIERDO ROTO;NO;12/02/2026;;T;6000830078;SI;P. TORNEO;L06
BRIGADAS;1428;MEJIAS;LUCES;FRENO;LUZ FRENO DERECHO FUNDIDO;NO;12/02/2026;;T;6000830080;SI;P. TORNEO;L06
BRIGADAS;1428;MEJIAS;CARROCERIA;CHAPA;PORTALON LATERAL DERECHO SUELTO;NO;12/02/2026;;T;6000830088;SI;P. TORNEO;L06
BALDEADORAS ALTA PRESIÓN;1646;3091528;SISTEMA;BOMBA AGUA BALDEO;FILTRO ATASCADO;NO;12/02/2026;;M;6000829954;SI;P. TORNEO;L06
BARREDORA MEDIA ASPIRASIÓN;551;3091068;SISTEMA;CARRETE / PERTIGA / PISTOLA;MANGUERA LIADA EN CEPILLO IZQUIERDO;NO;12/02/2026;;M;6000830004;SI;P. TORNEO;L06
BRIGADAS;1406;;SISTEMA;TAILGATE / PORTÓN;1406-PN PORTON NO SUBE;NO;12/02/2026;;M;6000829981;SI;P. NORTE;
BRIGADAS;1406;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1406-PN GEMELA EXTERIOR DCHA. PINCHADA;NO;12/02/2026;;M;6000829985;SI;P. NORTE;
BARREDORA MEDIANA;1562;;SISTEMA;CEPILLO;1562.TN.CEPILLOS CORTOS;NO;12/02/2026;;N;6000829903;SI;P. TORNEO;
MOTOCARROS;1832;;MOTOR;NIVELES VARIOS;GAR_1832 REZUMADO DE ACEITE BASCULANTE;NO;12/02/2026;;M;6000829994;SI;P. TORNEO;
BARREDORA MEDIANA;542;;LUCES;CRUCE / LARGA;542.TN.FALLO LUCES;NO;12/02/2026;;N;6000829901;SI;P. TORNEO;
BARREDORA MEDIANA;545;;SISTEMA;CEPILLO;545.TN.CEPILLO CORTO;NO;12/02/2026;;N;6000829902;SI;P. TORNEO;
BARREDORA MEDIANA;548;;LUCES;FALLO VARIAS LUCES;548.TN. FALLO DE LUCES;NO;12/02/2026;;N;6000829909;SI;P. TORNEO;
BARREDORA MEDIANA;548;;SISTEMA;CARRETE / PERTIGA / PISTOLA;548.TN.PERTIGA PETARDEA;NO;12/02/2026;;N;6000829910;SI;P. TORNEO;
BARREDORA MEDIANA;552;;LUCES;GALIBO;552-GALIBO TRASERO NO FUNCIONA;NO;12/02/2026;;M;6000829931;SI;P. TORNEO;
BARREDORA MEDIANA;552;;LUCES;TULIPA;552-TUPLIPA TRASERA ROTA;NO;12/02/2026;;M;6000829932;SI;P. TORNEO;
BARREDORA MEDIANA;555;;SISTEMA;CEPILLO;555 PT. CEPILLOS GASTADOS;NO;12/02/2026;;M;6000830077;SI;P. TORNEO;
BALDEADORA;635;;LUCES;INTERMITENTE;635.TN. PILOTO INTERMITENTE;NO;12/02/2026;;N;6000829907;SI;P. TORNEO;
BALDEADORA ALTA PRES.;979;;MOTOR;ELECTRICA / ELECTRONICA;979.TN.NO ENTRA EL EQUIPO;NO;12/02/2026;;N;6000829905;SI;P. TORNEO;
BARREDORA PEQUEÑA ;575;;SISTEMA;BOCA ASPIRACIÓN;575-P.E NO ASPIRA;NO;12/02/2026;;M;6000829975;SI;P. ESTE;
BARREDORA PEQUEÑA ;596;;CABINA;MONITOR / PANTALLA;596-P.E CAMARA VISUALIZACION MAL ESTADO;NO;12/02/2026;;M;6000829970;SI;P. ESTE;
BARREDORA PEQUEÑA ;596;;LUCES;LUZ CABINA;596-P.E LUZ CABINA NO FUNCIONA;NO;12/02/2026;;M;6000829969;SI;P. ESTE;
BARREDORA PEQUEÑA ;596;;CABINA;AIRE ACONDIC/CALEFACCIÓN;596-P.E A/A EN MAL ESTADO;NO;12/02/2026;;M;6000829972;SI;P. ESTE;
HIDROLIMPIADORES;746;;RUEDAS ;RUEDA GASTADA;746P.E.DOS RUEDAS DEL. GASTADAS;NO;12/02/2026;;M;6000830022;SI;P. ESTE;
MOTOCARROS;838;;CABINA;PUERTA;838. PUERTA CONDUCTOR NO ABRE;NO;12/02/2026;;M;6000830071;SI;P. ESTE;
BRIGADAS;1403;;LUCES;FALLO VARIAS LUCES;1403.TN. FALLO DE LUCES;NO;12/02/2026;;N;6000829916;SI;P. TORNEO;
BRIGADAS;1408;;LUCES;INTERMITENTE;1408-PC-INTERMITENTE DELANTERO IZQUIERDO;NO;12/02/2026;;M;6000830051;SI;P. ESTE;
BRIGADAS;1408;;LUCES;FRENO;1408-PC-LUZ DE FRENO DERECHA;NO;12/02/2026;;M;6000830053;SI;P. ESTE;
BRIGADAS;1412;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1412. FALTA BARANDILLA LATERAL...;NO;12/02/2026;;M;6000830092;SI;P. ESTE;
BRIGADAS;1426;;SISTEMA;TAILGATE / PORTÓN;1426P.E. ALARMA PORTON TRS. CIRCULANDO;NO;12/02/2026;;M;6000830000;SI;P. ESTE;
BRIGADAS;1426;;CABINA;CERRADURA / LLAVE;1426-CERRADURA DERECHA EN MAL ESTADO;NO;12/02/2026;;M;6000829967;SI;P. ESTE;
BARREDORA MEDIANA;1541;;MOTOR;TESTIGO EN CUADRO;1541 PE TESTIGO CHECK ENCENDIDO;NO;12/02/2026;;M;6000830055;SI;P. ESTE;
BARREDORA MEDIANA;1541;;FRENOS;PEDAL;1541 PE FRENO SE QUEDA PILLADO;NO;12/02/2026;;M;6000830056;SI;P. ESTE;
BARREDORA MEDIANA;1542;;SISTEMA;TURBINA ASPIRACIÓN;1542. NO ASPIRA;NO;12/02/2026;;M;6000830097;SI;P. ESTE;
BARREDORA MEDIANA;1564;;;;1564. PLACA NO SALE;NO;12/02/2026;;M;6000830073;SI;P. ESTE;
BARREDORA MEDIANA;1564;;LUCES;CRUCE / LARGA;1564. LUZ CRUCE IZQUIERDA NO FUNCIONA;NO;12/02/2026;;M;6000830096;SI;P. ESTE;
BARREDORA MEDIANA;1564;;LUCES;PILOTO;1564-P.E PILOTO IZQ. TRASERO NO FUNCIONA;NO;12/02/2026;;M;6000829955;SI;P. ESTE;
BARREDORA MEDIANA;1566;;SISTEMA;NO DESCARGA / NO BASCULA;1566.TN.CAJA NO BAJA;NO;12/02/2026;;N;6000829914;SI;P. TORNEO;
BARREDORA MEDIANA;1567;;LUCES;FALLO VARIAS LUCES;1567.TN.FALLO DE LUCES;NO;12/02/2026;;N;6000829913;SI;P. TORNEO;
BARREDORA MEDIANA;1567;;SISTEMA;HUMECTACIÓN;1567-P.E ASPERSORES DELANTEROS CAIDOS;NO;12/02/2026;;M;6000829947;SI;P. ESTE;
BALDEADORA ALTA PRES.;1642;;SISTEMA;BOMBA AGUA BALDEO;1642.TN. SIN PRESION;NO;12/02/2026;;N;6000829915;SI;P. TORNEO;
BALDEADORA ALTA PRES.;1642;;SISTEMA;CARRETE / PERTIGA / PISTOLA;1642-P.E CARRETE MAL LIADO;NO;12/02/2026;;M;6000829982;SI;P. ESTE;
BALDEADORA ALTA PRES.;1642;;SISTEMA;CARRETE / PERTIGA / PISTOLA;1642-P.E FUGA DE AGUA POR CARRETE;NO;12/02/2026;;M;6000830010;SI;P. ESTE;
TURISMOS / FURGONETAS;1701;;CABINA;MONITOR / PANTALLA;1701-CAMARA NO TIENE PANTALLA;NO;12/02/2026;;M;6000829961;SI;P. ESTE;
TURISMOS / FURGONETAS;1701;;CABINA;ESPEJO / RETROVISOR;1701-P.E RETROVISOR DERECHO EL PLASTICO;NO;12/02/2026;;M;6000829959;SI;P. ESTE;
HIDROLIMPIADORES;1717;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1717 PE RUEDA PINCHADA;NO;12/02/2026;;M;6000830050;SI;P. ESTE;
HIDROLIMPIADORES;1718;;LUCES;PILOTO;1718 PE PILOTO DELANTERO DCHO FUNDIDO;NO;12/02/2026;;M;6000830052;SI;P. ESTE;
TURISMOS / FURGONETAS;1782;;RUEDAS ;RUEDA GASTADA;1782P.E.DOS RUEDA TRASER. GASTADAS;NO;12/02/2026;;M;6000830016;SI;P. ESTE;
MOTOCARROS;1808;;MANTENIMIENTO;ITV;1808P.E.REP. DEF. ITV;NO;12/02/2026;;M;6000830001;SI;P. ESTE;
MOTOCARROS;1824;;MOTOR;NO ARRANCA;1824. NO DESPLAZA;NO;12/02/2026;;M;6000830091;SI;P. ESTE;
MOTOCARROS;1858;;MOTOR;MOTOR SE CALIENTA;1858. TEMPERATURA ALTA MOTOR;NO;12/02/2026;;M;6000830079;SI;P. ESTE;
BRIGADAS;430;;MOTOR;PERDIDA GASOIL;430.TN. PERDIDA DE GASOIL;NO;12/02/2026;;N;6000829911;SI;P. TORNEO;
BRIGADAS;430;;MOTOR;NO ARRANCA;430P.E. NO ARRANCA;NO;12/02/2026;;M;6000829999;SI;P. ESTE;
BRIGADAS;430;;MOTOR;REFRIGERACIÓN;430. NIVEL BAJO;NO;12/02/2026;;M;6000830072;SI;P. ESTE;
BRIGADAS;436;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;436-P.E RUEDA DELANTERA DERECHA PINCHADA;NO;12/02/2026;;M;6000829942;SI;P. ESTE;
BRIGADAS;436;;LUCES;GALIBO;436-P.E LUZ EXTERIOR LADO IZQ. ROTO;NO;12/02/2026;;M;6000829943;SI;P. ESTE;
BRIGADAS;436;;CARROCERIA;MATRÍCULA;436-P.E PORTAMATRICULA ROTA;NO;12/02/2026;;M;6000829944;SI;P. ESTE;
BRIGADAS;436;;LUCES;LUZ MATRÍCULA;436-P.E LUZ  MATRICULA NO TIENE;NO;12/02/2026;;M;6000829945;SI;P. ESTE;
BRIGADAS;436;;LUCES;FALLO VARIAS LUCES;436-P.E LUZ LATERAL DERECHA FUNDIDA;NO;12/02/2026;;M;6000829946;SI;P. ESTE;
BRIGADAS;446;;LUCES;INTERMITENTE;446-P.E PILOTO IZQ. FUNDIDO;NO;12/02/2026;;M;6000829948;SI;P. ESTE;
BRIGADAS;446;;CABINA;VOLANTE ;446-P.E NO FUNCIONA;NO;12/02/2026;;M;6000829950;SI;P. ESTE;
BRIGADAS;446;;CABINA;CERRADURA / LLAVE;446-P.E PUERTA TRASERA DERECHA NO ABRE;NO;12/02/2026;;M;6000829949;SI;P. ESTE;
BRIGADAS;459;;MOTOR;TESTIGO EN CUADRO;459. TESTIGO EN CUADRO, NO FRENA...;NO;12/02/2026;;M;6000830093;SI;P. ESTE;
BRIGADAS;462;;MOTOR;PERDIDA GASOIL;462-P.E OLOR FUERTE A GASOIL EN LA;NO;12/02/2026;;M;6000829951;SI;P. ESTE;
BRIGADAS;462;;MOTOR;TESTIGO FRENO;462-P.E SISTEMA DE FRENO ENCENDIDO;NO;12/02/2026;;M;6000829952;SI;P. ESTE;
BARREDORA MEDIANA;536;;MOTOR;MOTOR AVERIA;536-P.E RUIDO EN POLEA;NO;12/02/2026;;M;6000829938;SI;P. ESTE;
BARREDORA MEDIANA;536;;SISTEMA;CEPILLO;536-P.E CAMBIAR CEPILLO DERECHO;NO;12/02/2026;;M;6000829936;SI;P. ESTE;
BARREDORA MEDIANA;536;;HIDRAULICA;NIVEL HIDRÁULICO ;536-P.E RELLENAR HIDRAULICO;NO;12/02/2026;;M;6000829937;SI;P. ESTE;
BARREDORA MEDIANA;540;;LUCES;FOCO TRABAJO ;540-P.E FOCO TRABAJO IZQ. NO FUNCIONA;NO;12/02/2026;;M;6000830008;SI;P. ESTE;
BARREDORA MEDIANA;540;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;540-P.E PATA SEGURIDAD DERECHA SE CAE;NO;12/02/2026;;M;6000830007;SI;P. ESTE;
HIDROLIMPIADORES;758;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;758-P.E GOLPES VARIOS POR TODO EL VHLO.;NO;12/02/2026;;M;6000829953;SI;P. ESTE;
BRIGADAS;402;;FRENOS;PASTILLA / ZAPATA;402-SUENA FRENO TRASERO;NO;12/02/2026;;M;6000829924;SI;P. PRINCIPES;
BRIGADAS;402;;CABINA;PUERTA;402-FALTA ENGANCHE PUERTA TRASERA;NO;12/02/2026;;M;6000829973;SI;P. PRINCIPES;
BRIGADAS;402;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;402-PUERTA LATERAL SUELTA;NO;12/02/2026;;M;6000829976;SI;P. PRINCIPES;
BRIGADAS;403;;CABINA;AIRE ACONDIC/CALEFACCIÓN;403-CLIMATIZACION;NO;12/02/2026;;M;6000829927;SI;P. PRINCIPES;
BRIGADAS;403;;CABINA;MONITOR / PANTALLA;403-FANTALLA DE MARCHA ATRAS ROTA;NO;12/02/2026;;M;6000829928;SI;P. PRINCIPES;
HIDROLIMPIADORES;751;;LUCES;GALIBO;751-GALIBO GIRATORIO NO FUNCIONA;NO;12/02/2026;;M;6000829930;SI;P. PRINCIPES;
MOTOCARROS;920;;LUCES;INTERMITENTE;920-PP.INTERMITENTES IZQUIERDOS NO;NO;12/02/2026;;M;6000829922;SI;P. PRINCIPES;
MOTOCARROS;920;;CABINA;PUERTA;920-PP.PUERTA IZQUIERDA NO ABRE;NO;12/02/2026;;M;6000830013;SI;P. PRINCIPES;
MOTOCARROS;928;;;;928-PP.TOMA CORRIENTE INTERIOR FALLA;NO;12/02/2026;;M;6000829939;SI;P. PRINCIPES;
MOTOCARROS;929;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;929-PP.NIVEL BAJO DE AIRE;NO;12/02/2026;;M;6000829923;SI;P. PRINCIPES;
MOTOCARROS;931;;LUCES;GIRATORIO ;931-PP.GIRAFARO NO FUNCIONA;NO;12/02/2026;;M;6000830045;SI;P. PRINCIPES;
TURISMOS / FURGONETAS;1072;;MOTOR;BATERIA;1072-CABLE DE CARGA NO ENGANCHA;NO;12/02/2026;;M;6000830003;SI;P. PRINCIPES;
BARREDORA MEDIANA;1534;;MOTOR;TESTIGO EN CUADRO;1534.TN. TESTIGO EN CUADRO;NO;12/02/2026;;N;6000829918;SI;P. TORNEO;
BARREDORA MEDIANA;1536;;CABINA;LIMPIAPARABRISAS;1536-LIMPIA;NO;12/02/2026;;M;6000830027;SI;P. PRINCIPES;
BARREDORA MEDIANA;1552;;LUCES;GALIBO;1552-GALIBO NO FUNCIONA;NO;12/02/2026;;M;6000829986;SI;P. PRINCIPES;
BARREDORA MEDIANA;1552;;LUCES;TULIPA;1552-TULIPA TRASERO ROTO;NO;12/02/2026;;M;6000829988;SI;P. PRINCIPES;
BALDEADORA ALTA PRES.;1649;;SISTEMA;CARRETE / PERTIGA / PISTOLA;1649.TN. PERDIDA DE AGUA;NO;12/02/2026;;N;6000829917;SI;P. TORNEO;
TURISMOS / FURGONETAS;1706;;MOTOR;NO ARRANCA;EL VEHICULO NO ARRANCA;NO;12/02/2026;;M;6000830065;SI;P. PRINCIPES;
HIDROLIMPIADORES;1719;;SISTEMA;CARRETE / PERTIGA / PISTOLA;1719-PP.PIERDE AGUA POR EL CARRETE;NO;12/02/2026;;M;6000829941;SI;P. PRINCIPES;
MOTOCARROS;1820;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1820.RUEDA DELANTERA IZQUIERDA;NO;12/02/2026;;M;6000830026;SI;P. PRINCIPES;
MOTOCARROS;1846;;LUCES;FARO;1846-FARO IZQ NO FUNCIONA;NO;12/02/2026;;M;6000829921;SI;P. PRINCIPES;
MOTOCARROS;1847;;LUCES;INTERMITENTE;1847-BOTN 4 INTERMITENTE FALLA;NO;12/02/2026;;M;6000829933;SI;P. PRINCIPES;
MOTOCARROS;1849;;;;1849-MANGUITO GASOLINA PICADO;NO;12/02/2026;;M;6000830002;SI;P. PRINCIPES;
BRIGADAS;448;;MANTENIMIENTO;ITV;448.REVISION DE ITV;NO;12/02/2026;;M;6000829998;SI;P. PRINCIPES;
BARREDORA MEDIANA;554;;CABINA;ESPEJO / RETROVISOR;554-FALTA ESPEJO SUPERIOR;NO;12/02/2026;;M;6000829929;SI;P. PRINCIPES;
BARREDORA MEDIANA;557;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;R TRASERA INT PINCHADA;NO;12/02/2026;;M;6000830063;SI;P. PRINCIPES;
BARREDORA MEDIANA;571;;CABINA;LIMPIAPARABRISAS;571-LIMPIA ROTA;NO;12/02/2026;;M;6000829926;SI;P. PRINCIPES;
BARREDORA PEQUEÑA ;587;;SISTEMA;BOCA ASPIRACIÓN;587-TURBINA NO FUNCIONA;NO;12/02/2026;;M;6000829940;SI;P. PRINCIPES;
BARREDORA PEQUEÑA ;587;;SISTEMA;GRUA;587.SERVICIO GRUA(PRINCIPES-ITV);NO;12/02/2026;;M;6000830033;SI;P. PRINCIPES;
HIDROLIMPIADORES;759;;MOTOR;NO ARRANCA;759-NO ARRANCA (PSUR);NO;12/02/2026;;M;6000829957;SI;P. PRINCIPES;
MOTOCARROS;923;;;;923-NO FUNCIONA CLAXON;NO;12/02/2026;;M;6000829935;SI;P. PRINCIPES;
MOTOCARROS;923;;CABINA;MONITOR / PANTALLA;923-CAMARA MARCHA ATRAS;NO;12/02/2026;;M;6000830036;SI;P. PRINCIPES;
MOTOCARRO BIPLAZA;1832;BELLERIN;SISTEMA;NO DESCARGA;NO BASCULA;NO;11/02/2026;;T;6000829836;SI;P. TORNEO;L06
MINIBALDEADORA ELÉCTRICA;979;ZAPATA;SISTEMA;CIRCUITO AGUA;NO SALE AGUA POR LA BARRA DELANTERA;NO;11/02/2026;;T;6000829840;SI;P. TORNEO;L06
VEHÍCILO HIDROLIMPIADOR;1710;CARMEN P;MOTOR;BATERIA;EQUIPO POR DEBAJO DEL 30%;NO;11/02/2026;;T;6000829843;SI;P. TORNEO;L06
MINIBALDEADORA ELÉCTRICA;976;ZAPATA;MOTOR;ELECTRICA / ELECTRONICA;NO FUNCIONA MARCHA ATRAS;NO;11/02/2026;;T;6000829866;SI;P. TORNEO;L06
MOTOCARRO BIPLAZA;1837;CECILIA;CABINA;CERRADURA / LLAVE;PUERTA COPILOTO NO ABRE;NO;11/02/2026;;T;6000829870;SI;P. TORNEO;L06
MOTOCARRO BIPLAZA;1837;CECILIA;CARROCERIA;BASCULANTE;AGARRE PATA TRASERA ROTO;NO;11/02/2026;;T;6000829872;SI;P. TORNEO;L06
TURISMOS / FURGONETAS;1008;90508;CARROCERIA;DEPOSITO COMBUSTIBLE;1008-TAPA D CARGA DE ELECTRICO ROTA ;NO;11/02/2026;;M;6000829743;SI;P. TORNEO;L06
BRIGADAS;407;;MOTOR;NO ARRANCA;407 NO ARRANCA;NO;11/02/2026;;M;6000829703;SI;P. TORNEO;
TURISMOS / FURGONETAS;1008;;CABINA;LIMPIAPARABRISAS;1008.TN.LIMPIA PARABRISAS NO LIMPIA;NO;11/02/2026;;N;6000829879;SI;P. TORNEO;
BARREDORA MEDIANA;1562;;MOTOR;TESTIGO EN CUADRO;1562.TN-TESTIGO EN CUADRO;NO;11/02/2026;;N;6000829678;SI;P. TORNEO;
